No of Bedrooms ,total_sqft,bath,No of balcony,site_location,price
2,1056,2,1,1,39.07
4,2894,4,1,1,245
4,1200,5,0,1,325
2,1084,2,2,1,50
2,1000,2,1,1,25
4,1150,4,2,1,260
2,1230,2,2,1,80
4,4500,4,0,1,445
3,1750,3,2,1,130
2,995,2,1,1,41
3,1305,3,1,1,33.28
3,1260,2,3,1,40.32
2,1360,2,1,1,95
2,1040,2,2,1,50
3,1655,3,2,1,86.06
4,2900,3,0,1,135
4,2790,5,3,1,198
2,1028,2,1,1,42
2,1300,2,3,1,57
7,1400,6,3,1,200
3,1564,3,1,1,101
2,1012,2,1,1,59
4,2519,5,2,1,185
3,3000,3,0,1,338
2,1520,2,3,1,62
3,600,2,1,1,80
3,1550,3,2,1,78
2,1165,2,1,1,135
2,950,2,1,1,46.5
2,1280,2,0,1,56
2,117,2,2,1,38
2,1350,2,1,1,79
3,1500,2,0,1,85
4,3250,4,0,1,230
3,1150,2,2,1,77.5
3,1080,2,2,1,75
3,3000,3,3,1,400
3,1743,3,2,1,93.25
2,984,2,1,1,45.91
2,815,3,2,1,160
9,4500,9,0,1,166
2,1225,2,2,1,55
2,1100,2,1,1,50
2,1210,2,1,1,75
2,1250,2,2,1,72
2,900,2,2,1,42
2,1075,2,2,1,52.43
3,1639,2,1,1,40.98
2,1265,2,2,1,82
2,900,2,1,1,41
3,1500,2,2,1,63
2,1100,2,1,1,48
3,1850,3,2,1,90
3,1350,2,0,1,51
3,1475,2,2,1,74
3,1265,2,1,1,65
2,1300,2,2,1,98
3,1718,3,3,1,223
2,600,4,1,1,110
2,937,2,1,1,35
2,1000,2,2,1,58
2,700,2,0,1,43
2,1265,2,2,1,46.6
2,1008,2,2,1,32.25
3,2072,4,2,1,155
3,1300,3,2,1,45
4,7000,4,3,1,550
2,1102,2,0,1,52
2,1020,2,1,1,46.5
3,1855,3,2,1,145
2,1181,2,1,1,75
3,1350,3,1,1,60
2,1130,2,1,1,45.2
2,1065,2,2,1,55
3,1540,3,3,1,85
2,1246,2,1,1,67.4
1,500,1,1,1,30
2,1080,2,2,1,45
3,1756,3,2,1,128
2,914,2,1,1,32
2,1150,2,0,1,36.8
3,2144.6,4,2,1,145
3,1569,3,0,1,70
3,1856,3,2,1,135
3,1800,4,1,1,125
2,1338,2,1,1,103
3,1360,3,0,1,47.6
2,2480,2,1,1,160
4,3596,5,1,1,279
1,375,1,0,1,40
4,2700,4,2,1,350
3,1350,2,2,1,47.24
5,2400,5,2,1,200
2,1565,2,2,1,69
2,1185,2,1,1,51.15
2,1091,2,1,1,33.82
4,4700,5,3,1,800
4,1200,4,1,1,125
2,1135,2,2,1,68
4,2658,5,3,1,189
4,3000,4,2,1,301
3,1830,4,2,1,150
3,1907,2,1,1,200
5,1100,5,1,1,165
3,1685,3,3,1,115
2,890,2,1,1,40
3,1260,2,1,1,75
2,674,1,1,1,19.9
2,1049,2,1,1,51
2,945,2,1,1,35
3,1540,3,0,1,90
3,1370,2,1,1,54.79
2,1194,2,1,1,51
2,1189,2,1,1,45
2,1339,2,1,1,53.56
2,1350,2,3,1,68
3,1665,3,2,1,74.93
2,1244,2,2,1,88
3,1719,3,2,1,135
1,416,1,1,1,17.19
2,1041,2,2,1,54
1,705,1,1,1,65
3,1589,3,2,1,74
4,2360,4,2,1,601
3,1310,2,1,1,37.84
2,1027,2,2,1,44
3,1801,3,2,1,115
2,1205,2,2,1,37
2,1105,2,1,1,39.5
4,3504,4,0,1,262
2,1763,3,2,1,240
2,1089,2,1,1,40
3,925,2,1,1,49.82
3,1255,3,1,1,90
2,1200,2,2,1,45
6,1799,6,3,1,101
3,1600,3,2,1,260
3,1975,3,3,1,90
2,1200,2,0,1,75
4,2600,5,3,2,120
3,1330,2,1,2,48
7,1800,7,1,2,250
2,1015,2,2,2,25.88
2,950,2,1,2,40
4,1125,4,3,2,180
2,1200,2,0,2,65
3,1180,2,2,2,78.34
2,1215,2,1,2,67
2,884,2,1,2,41.1
3,600,4,0,2,95
2,1036,2,1,2,50
4,6000,5,3,2,400
2,1240,2,1,2,60
3,2060,3,1,2,149
3,1890,4,3,2,127
2,1330,2,1,2,86.98
3,1700,3,1,2,180
2,1450,1,0,2,230
2,1115,2,2,2,50
2,1045,2,1,2,45
2,1070,2,1,2,54
3,1340,2,1,2,100
3,1500,2,1,2,143
4,3122,6,2,2,245
2,1089,2,1,2,43.55
4,3250,4,3,2,230
3,1130,2,3,2,45.19
3,1082,2,1,2,49
4,800,4,0,2,110
2,780,2,2,2,25
3,1355,3,1,2,61
2,1065,2,3,2,50
1,1351,2,1,2,53
2,1146,2,1,2,39.5
2,1000,2,1,2,60
3,1665,3,2,2,86.91
2,1274,2,2,2,48.42
3,1819.18,3,1,2,160
3,1444,2,1,2,80
2,1263,2,1,2,78
3,1690,3,2,2,112
4,3436,6,3,2,500
3,1500,3,3,2,95
1,700,1,0,2,34.385
3,1410,2,2,2,45.12
2,1000,2,1,2,68
2,1360,2,1,2,103
2,1140,2,2,2,52
4,1650,4,3,2,320
4,2560,4,2,2,75
3,1230,2,2,2,53.51
2,1174,2,1,2,75
2,1075,2,2,2,30
3,1550,3,2,2,258
3,1260,2,1,2,45
2,1390,2,2,2,65
2,1010,2,1,2,35
